model,group,layer,feature,attention_method,spearman,p,n
physics-ckpt1,novices,3,RPD_inc,raw,0.2022228586661747,3.883183304910946e-17,1699
physics-ckpt1,novices,3,TFC,raw,0.18885225340139675,4.032443073996683e-15,1701
physics-ckpt1,novices,3,pca,raw,0.19840488169095521,1.529164982757852e-16,1699
physics-ckpt1,novices,4,FPRT,raw,0.3648525885291567,1.2093903824096084e-54,1699
physics-ckpt1,novices,4,TFT,raw,0.25420521239788074,1.707002065595419e-26,1701
physics-ckpt1,novices,4,FFD,raw,0.5115806980006702,5.8290724139218984e-114,1699
physics-ckpt1,novices,4,SFD,raw,0.4907787588826297,4.034615340941991e-102,1673
physics-ckpt1,novices,4,RPD_inc,raw,0.27471645137339157,8.499555355635287e-31,1699
physics-ckpt1,novices,4,TFC,raw,0.27750037872637884,1.8913440288520505e-31,1701
physics-ckpt1,novices,4,pca,raw,0.2868726869180631,1.5126640632353645e-33,1699
physics-ckpt1,novices,5,FPRT,raw,0.1965073663221999,2.9912230617228704e-16,1699
physics-ckpt1,novices,5,TFT,raw,0.059694716028901876,0.013801596500638018,1701
physics-ckpt1,novices,5,FFD,raw,0.42851556217609515,7.799776960702024e-77,1699
physics-ckpt1,novices,5,SFD,raw,0.41188934536285904,1.6437329065099575e-69,1673
physics-ckpt1,novices,5,RPD_inc,raw,0.11127883679359973,4.271716213901599e-06,1699
physics-ckpt1,novices,5,TFC,raw,0.08713788529631664,0.0003206153787258547,1701
physics-ckpt1,novices,5,pca,raw,0.10459739299126769,1.5597697737323288e-05,1699
physics-ckpt1,novices,6,FPRT,raw,0.40155613074755486,7.679773609444208e-67,1699
physics-ckpt1,novices,6,TFT,raw,0.30584904719602074,3.673030906536715e-38,1701
physics-ckpt1,novices,6,FFD,raw,0.5458040646257859,1.651340168819657e-132,1699
physics-ckpt1,novices,6,SFD,raw,0.5242794697636249,8.874073587455788e-119,1673
physics-ckpt1,novices,6,RPD_inc,raw,0.2810805725401948,3.2140614095501574e-32,1699
physics-ckpt1,novices,6,TFC,raw,0.33354821817822,1.770330104747599e-45,1701
physics-ckpt1,novices,6,pca,raw,0.32296475765697336,1.5243729559958225e-42,1699
physics-ckpt1,novices,7,FPRT,raw,0.4147392532489737,1.296970325881108e-71,1699
physics-ckpt1,novices,7,TFT,raw,0.3557203872975399,6.6243323382701954e-52,1701
physics-ckpt1,novices,7,FFD,raw,0.48241403327106597,9.650667243292498e-100,1699
