text_id,word_index_in_text,surprisal,index,epoch,domain,model,condition
b1,153,12.501608760064112,0.0,0.0,physics,german-gpt2,dapt
b1,154,17.288625394481297,0.0,0.0,physics,german-gpt2,dapt
b1,155,4.502246793716131,0.0,0.0,physics,german-gpt2,dapt
b1,156,8.090850201266264,0.0,0.0,physics,german-gpt2,dapt
b1,157,6.335732164750525,0.0,0.0,physics,german-gpt2,dapt
b1,158,4.394760732614591,0.0,0.0,physics,german-gpt2,dapt
b1,159,8.567533138801503,0.0,0.0,physics,german-gpt2,dapt
b1,160,1.5971401048953389,0.0,0.0,physics,german-gpt2,dapt
b1,161,7.465422908652798,0.0,0.0,physics,german-gpt2,dapt
b2,2,26.994427148372996,0.0,0.0,physics,german-gpt2,dapt
b2,3,10.647123963394067,0.0,0.0,physics,german-gpt2,dapt
b2,4,11.056704774007468,0.0,0.0,physics,german-gpt2,dapt
b2,5,8.98202095840932,0.0,0.0,physics,german-gpt2,dapt
b2,6,10.73115950211986,0.0,0.0,physics,german-gpt2,dapt
b2,7,7.552594722999724,0.0,0.0,physics,german-gpt2,dapt
b2,8,8.461213464038115,0.0,0.0,physics,german-gpt2,dapt
b2,9,5.539938858192361,0.0,0.0,physics,german-gpt2,dapt
b2,10,23.66335984928798,0.0,0.0,physics,german-gpt2,dapt
b2,11,5.543835641095611,0.0,0.0,physics,german-gpt2,dapt
b2,12,3.6195754191787137,0.0,0.0,physics,german-gpt2,dapt
b2,13,15.253792087373363,0.0,0.0,physics,german-gpt2,dapt
b2,14,9.933550058768585,0.0,0.0,physics,german-gpt2,dapt
b2,15,15.938724796743914,0.0,0.0,physics,german-gpt2,dapt
b2,16,1.9485338532596734,0.0,0.0,physics,german-gpt2,dapt
b2,17,9.427817187710806,0.0,0.0,physics,german-gpt2,dapt
b2,18,6.185104943610653,0.0,0.0,physics,german-gpt2,dapt
b2,19,1.5973005647085938,0.0,0.0,physics,german-gpt2,dapt
b2,20,22.954174941912516,0.0,0.0,physics,german-gpt2,dapt
b2,21,0.09235002923283926,0.0,0.0,physics,german-gpt2,dapt
b2,22,0.5684816441339913,0.0,0.0,physics,german-gpt2,dapt
b2,23,19.488040724007092,0.0,0.0,physics,german-gpt2,dapt
b2,24,9.231999805230222,0.0,0.0,physics,german-gpt2,dapt
b2,25,6.176516130026564,0.0,0.0,physics,german-gpt2,dapt
b2,26,3.8722760634321713,0.0,0.0,physics,german-gpt2,dapt
b2,27,1.0645530028185872,0.0,0.0,physics,german-gpt2,dapt
b2,28,4.632426997494924,0.0,0.0,physics,german-gpt2,dapt
b2,29,4.647659844847144,0.0,0.0,physics,german-gpt2,dapt
b2,30,2.2507084027215334,0.0,0.0,physics,german-gpt2,dapt
b2,31,17.157389625685,0.0,0.0,physics,german-gpt2,dapt
b2,32,14.150673350959998,0.0,0.0,physics,german-gpt2,dapt
b2,33,3.6285126696134506,0.0,0.0,physics,german-gpt2,dapt
b2,34,3.878643549097716,0.0,0.0,physics,german-gpt2,dapt
b2,35,3.9872247957199503,0.0,0.0,physics,german-gpt2,dapt
b2,36,13.943109209460182,0.0,0.0,physics,german-gpt2,dapt
b2,37,1.906872431949365,0.0,0.0,physics,german-gpt2,dapt
b2,38,16.88314093113964,0.0,0.0,physics,german-gpt2,dapt
b2,39,1.0217889147422716,0.0,0.0,physics,german-gpt2,dapt
b2,40,14.028783054918094,0.0,0.0,physics,german-gpt2,dapt
b2,41,3.285961409243227,0.0,0.0,physics,german-gpt2,dapt
b2,42,17.0684690917441,0.0,0.0,physics,german-gpt2,dapt
b2,43,9.619392861302076,0.0,0.0,physics,german-gpt2,dapt
b2,44,3.1210049375987676,0.0,0.0,physics,german-gpt2,dapt
b2,45,4.081660469308718,0.0,0.0,physics,german-gpt2,dapt
b2,46,11.210039690002523,0.0,0.0,physics,german-gpt2,dapt
b2,47,5.512778326072201,0.0,0.0,physics,german-gpt2,dapt
